dominio;rota;metodos;funcao;linha_inicial;linha_final;templates;tabelas;endpoints_referenciados;autenticacao_indicio;risco_inicial
Administração e acessos;/;GET;dashboard;2293;2630;dashboard.html;arquivos_sistema, auditoria_financeira, empresas, lancamentos_ajudantes, motorista_notas_fiscais, pessoas, rotas, titulos_financeiros, usuarios;financeiro_nfs_motoristas, logout, relatorios_financeiro, rotas_divergencias, terminal_base_qrcode;Sim;Médio
Administração e acessos;/pessoas/editar/<int:id>;GET, POST;editar_pessoa;4695;4975;editar_pessoa.html;empresas, pessoas, usuarios;editar_pessoa, logout, visualizar_pessoas;Sim;Alto
Administração e acessos;/configuracao/usuarios/criar;GET, POST;criar_usuario;7465;7594;criar_usuario.html;bases_operacionais, empresas, pessoas, usuarios;criar_usuario, visualizar_usuarios;Sim;Alto
Administração e acessos;/configuracao/usuarios/editar/<int:id>;GET, POST;editar_usuario;7600;7804;editar_usuario.html;bases_operacionais, empresas, pessoas, usuarios;editar_usuario, visualizar_usuarios;Sim;Alto
Administração e acessos;/configuracao/usuarios;GET;visualizar_usuarios;7810;7907;visualizar_usuarios.html;bases_operacionais, empresas, pessoas, usuarios;dashboard;Sim;Médio
Administração e acessos;/usuarios/alternar_status/<int:id>;POST;alternar_status_usuario;7913;7984;;usuarios;logout, visualizar_usuarios;Sim;Alto
Administração e acessos;/configuracoes/perfil-acesso;GET;perfil_acesso;8310;8472;perfil_acesso.html;auditoria_permissoes, empresas, perfil_permissoes, perfis_acesso, sistema_menus, usuario_empresas_acesso, usuario_permissoes, usuarios;dashboard;Sim;Médio
Administração e acessos;/configuracoes/perfis/novo;GET, POST;novo_perfil_acesso_empresa;8497;8552;perfil_acesso_form.html;empresas, perfis_acesso;editar_permissoes_perfil_acesso, novo_perfil_acesso_empresa, perfil_acesso;Sim;Alto
Administração e acessos;/configuracoes/perfis/<int:perfil_id>/permissoes;GET, POST;editar_permissoes_perfil_acesso;8558;8620;perfil_permissoes_editar.html;perfil_permissoes, perfis_acesso, permitido;editar_permissoes_perfil_acesso, perfil_acesso;Sim;Alto
Administração e acessos;/configuracoes/menus-modulos;GET;gerenciar_menus_modulos;8765;8785;gerenciar_menus_modulos.html;;perfil_acesso;Sim;Baixo
Administração e acessos;/configuracoes/menus/novo;GET, POST;novo_menu_sistema;8893;8945;menu_sistema_form.html;modulo_id, perfil_permissoes, permitido, sistema_menus;gerenciar_menus_modulos, novo_menu_sistema, perfil_acesso;Sim;Alto
Administração e acessos;/configuracoes/menus/<int:menu_id>/editar;GET, POST;editar_menu_sistema;8951;8994;menu_sistema_form.html;sistema_menus;gerenciar_menus_modulos, perfil_acesso;Sim;Alto
